移动-CCTV高清,#genre#
天津卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225698/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8"
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
湖北卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225699/index.m3u8
东方卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
移动-高清,#genre#
北京冬奥纪实,http://39.135.138.58:18890/PLTV/88888888/224/3221225676/index.m3u8?zbeid#http://39.135.138.60:18890/PLTV/88888888/224/3221225675/index.m3u8?zbeid
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225653/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225749/index.m3u8
黑莓电影[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225769/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225718/index.m3u8
超级电视剧[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225625/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225625/index.m3u8
NewTV金牌综艺[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225711/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225711/index.m3u8
NewTV军旅剧场[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225669/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225669/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225669/index.m3u8
NewTV农业致富[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225670/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225670/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225670/index.m3u8
NewTV军事评论[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225757/index.m3u8
NewTV精品大剧[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225714/index.m3u8
NewTV炫舞未来[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225707/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225707/index.m3u8
NewTV精品体育[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225709/index.m3u8
NewTV武搏世界[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225656/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225656/index.m3u8
NewTV潮妈辣婆[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225708/index.m3u8
NewTV怡伴健康[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225666/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225666/index.m3u8
NewTV超级体育[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225622/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225648/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225767/index.m3u8
NewTV家庭剧场[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225713/index.m3u8
NewTV明星大片[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
NewTV古装剧场[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225678/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225678/index.m3u8
NewTV精品纪录[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225710/index.m3u8
4k,#genre#
纯享4K[3840*2160],http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8?zjiangsd
苏州4K[3840*2160],http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
纯享4k,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8
